n_periods,beta1,omega_nondim,T_nondim,rel_omega_bin,rel_lambda_bin,note
4.0,1.8751040687119611,3.516015268500151,7.148075110447225,0.25,0.5,"FFT bin width. An integer-period window places the reference frequency exactly on bin n_periods, so this is NOT an error floor; it only separates grid noise from model error"
8.0,1.8751040687119611,3.516015268500151,14.29615022089445,0.125,0.25,"FFT bin width. An integer-period window places the reference frequency exactly on bin n_periods, so this is NOT an error floor; it only separates grid noise from model error"
16.0,1.8751040687119611,3.516015268500151,28.5923004417889,0.0625,0.125,"FFT bin width. An integer-period window places the reference frequency exactly on bin n_periods, so this is NOT an error floor; it only separates grid noise from model error"
32.0,1.8751040687119611,3.516015268500151,57.1846008835778,0.03125,0.0625,"FFT bin width. An integer-period window places the reference frequency exactly on bin n_periods, so this is NOT an error floor; it only separates grid noise from model error"
64.0,1.8751040687119611,3.516015268500151,114.3692017671556,0.015625,0.03125,"FFT bin width. An integer-period window places the reference frequency exactly on bin n_periods, so this is NOT an error floor; it only separates grid noise from model error"
128.0,1.8751040687119611,3.516015268500151,228.7384035343112,0.0078125,0.015625,"FFT bin width. An integer-period window places the reference frequency exactly on bin n_periods, so this is NOT an error floor; it only separates grid noise from model error"
256.0,1.8751040687119611,3.516015268500151,457.4768070686224,0.00390625,0.0078125,"FFT bin width. An integer-period window places the reference frequency exactly on bin n_periods, so this is NOT an error floor; it only separates grid noise from model error"
