bound,quantity,numerator,denominator,cost_ratio,cost_orders,expected_success_ratio,expected_success_orders,accuracy_ratio,accuracy_orders,numerator_solver,denominator_solver,numerator_seconds,denominator_seconds,numerator_e_lam,denominator_e_lam
measured,gradient-trained vs classical,neural_gradient,classical,216441.1671781818,5.335339867238353,216441.1671781818,5.335339867238353,6183246.49924925,6.79121656028342,c_curriculum(stage1=0.5),monomial_raw,37.535870822146535,0.00017342297360301018,1.242621295080287e-05,2.0096583489452704e-12
measured,random-feature vs classical,neural_randfeat,classical,76.11949718465293,1.881495910846566,76.11949718465293,1.881495910846566,15167.558201058204,4.180915670097043,f_eig_pielm(nf=20),monomial_raw,0.013200869550928473,0.00017342297360301018,3.0481609971869926e-08,2.0096583489452704e-12
measured,gradient-trained vs random-feature,neural_gradient,neural_randfeat,2843.4392656737127,3.453843956391787,2843.4392656737127,3.453843956391787,407.6626189453395,2.6103008901863767,c_curriculum(stage1=0.5),f_eig_pielm(nf=20),37.535870822146535,0.013200869550928473,1.242621295080287e-05,3.0481609971869926e-08
measured,"gradient-trained vs classical (P4, mode 1)",neural_gradient,classical,2076.8975149420326,3.3174150666875875,2732.759888081622,3.436601474406796,4.122892168719005,0.6152019762899065,p4_neural_2d[exact projection],"graded Q2 (beta=3.0), 1410 dof",91.3841758579947,0.04400032991543412,0.003481109658084644,0.0008443368188225585
measured,"gradient-trained vs classical (P4, mode 2)",neural_gradient,classical,3221.774314772385,3.5080951148287443,4737.903404077037,3.6755862021225076,1.1804515748604756,0.07204817591093984,p4_neural_2d[exact projection],"graded Q2 (beta=1.0), 322 dof",119.91404711105861,0.03721987805329263,0.0025467848614021894,0.0021574666133197446
measured,"gradient-trained vs classical (P4, mode 3)",neural_gradient,classical,2209.9750479333848,3.3443873702434734,3348.44704232331,3.5248434347016047,1.5361573402944155,0.18643570041039317,p4_neural_2d[exact projection],"graded Q2 (beta=3.0), 1410 dof",97.23963121394627,0.04400032991543412,0.0037962203448811222,0.0024712444782209286
measured,observed P1-to-P4 gap difference (mode 1),,,nan,2.017924800550766,nan,1.8987383928315573,nan,nan,,,nan,nan,nan,nan
