beta,n,n_dof,seconds,sweep_seconds,lam_mode1,lam_mode2,lam_mode3,lam_mode4,lam_mode5,lam_mode6
1.0,4,322,0.03721987805329263,0.30037000798620284,5.196696058665955,6.4890793960967645,10.116591441101132,12.143714037340686,12.645021460353567,12.764070106433206
1.0,8,1410,0.045398996910080314,0.30037000798620284,5.181298929689768,6.479099154540543,10.069356816515603,12.114769864405929,12.616835067803398,12.732434769633237
1.0,16,5890,0.21769567695446312,0.30037000798620284,5.175316655519106,6.476601225984717,10.055571611641332,12.109795181990796,12.61434942048026,12.72766365672615
3.0,4,322,0.012717355974018574,0.2568068120162934,5.208105682104393,6.536384055182237,10.22857160666813,12.301655803669776,12.923354583654513,13.029706548402629
3.0,8,1410,0.04400032991543412,0.2568068120162934,5.175046869083488,6.482933417946797,10.069419734849559,12.137811849549893,12.649250437287066,12.761115341643817
3.0,16,5890,0.20004203799180686,0.2568068120162934,5.171190367991205,6.476108554954389,10.047946261947509,12.110361214239415,12.616901201023978,12.7281216036512
5.0,4,322,0.012387901078909636,0.2620626629795879,5.267609793259737,6.610860736118845,10.562610061220683,12.542909071404848,13.54387987709978,13.560647794501405
5.0,8,1410,0.04595584189519286,0.2620626629795879,5.189040761008454,6.5080475350566065,10.140837632875238,12.218740463806,12.767804746421401,12.880017739235363
5.0,16,5890,0.20367695204913616,0.2620626629795879,5.172730572539274,6.47910208079077,10.056626539447583,12.122221308586612,12.630555518966379,12.742007983514938
