mode,beta,lambda_extrapolated,convergence_rate,uncertainty_rel,within_target,reference
1,3.0,5.170681072675439,3.099670500867106,9.849675673425165e-05,True,Q2 graded mesh (beta=3.0) + Richardson
2,3.0,6.47510956339615,2.969335158119185,0.0001542817999384032,True,Q2 graded mesh (beta=3.0) + Richardson
3,3.0,10.044597079780198,2.8897766828474207,0.00033343121089969146,True,Q2 graded mesh (beta=3.0) + Richardson
4,3.0,12.104836476037232,2.577410993985119,0.0004564075039857028,True,Q2 graded mesh (beta=3.0) + Richardson
5,3.0,12.612572548148414,3.0829205949691163,0.000343201425326973,True,Q2 graded mesh (beta=3.0) + Richardson
6,3.0,12.723501066968755,3.0251479330690696,0.00036314978543449094,True,Q2 graded mesh (beta=3.0) + Richardson
