k_hat,basis,n_dof,jump_capable,n_q_per_segment,cholesky_ok,seconds_construct,seconds_solve,seconds,e_lam_vs_uniform_mode1,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4,e_lam_mode5,e_lam_mode6
1.0,monomial_raw,8,False,16,True,6.352085620164871e-06,0.0007068749982863665,0.0007132270839065313,1.0144564524205356e-13,2.1083770673250033,0.006565879164862353,0.24647543447144973,0.47853855252314687,0.24743804379448334,0.494714261023725
1.0,monomial_orthonormalized,8,False,16,True,0.06539399805478752,0.0003419499844312668,0.06573594803921878,2.8695035913368405e-13,2.1083770673262108,0.006565879166542135,0.2464754345025091,0.47853855856998656,0.24743831089506588,0.4947150614992684
1.0,shifted_legendre,8,False,16,True,0.00016739079728722572,0.00045457296073436737,0.0006219637580215931,1.316781718127732e-12,2.1083770673294118,0.006565879169011018,0.24647543450171377,0.47853855856947175,0.24743831089544474,0.4947150614985314
1.0,integrated_legendre,8,False,16,True,0.0004076769109815359,0.0006915798876434565,0.0010992567986249924,9.954892779560156e-13,2.1083770673222246,0.006565879163820002,0.24647543450174506,0.478538558569821,0.24743831089557536,0.49471506149962063
1.0,chebyshev,8,False,16,True,0.00014577503316104412,0.0004353250842541456,0.0005811001174151897,1.2946533479191254e-13,2.1083770673249163,0.006565879164958162,0.2464754345020454,0.4785385585698773,0.24743831089512175,0.49471506150061295
1.0,bspline_C0,8,True,16,True,0.00030779093503952026,0.0008117880206555128,0.001119578955695033,0.6782857852672807,9.087307758111904e-06,0.0012757703675431238,0.00877122666445683,0.0340679790143754,0.03910378409139322,1.525367660058895
1.0,enriched_split,8,True,16,True,3.054412081837654e-05,0.00030331104062497616,0.0003338551614433527,0.6782887060627442,8.374120580370415e-09,2.693575892211997e-05,0.0004622858511841734,0.05573168411129963,0.24815843783489117,1.7942286749557945
1.0,enriched_split_orthonormalized,8,True,16,True,0.06334565905854106,0.00031708599999547005,0.06366274505853653,0.6782887060632051,8.372687743450103e-09,2.693575802849072e-05,0.0004622858634809547,0.05573168464595243,0.24815844480868687,1.7942287239555943
1.0,hermite_fem_split_rotation,81,True,,True,1.0719522833824158e-06,0.017014279961586,0.01701535191386938,0.6782887055414415,9.99452637203776e-09,2.6114945836914244e-07,1.6523925390932617e-06,5.352798673844067e-06,1.745628715946035e-05,4.5571507061081634e-05
1.0,monomial_raw,12,False,24,True,1.0800082236528397e-05,0.0005855958443135023,0.0005963959265500307,7.515886572281661e-12,2.1083770673486812,0.0065658606255910405,0.24647268326544444,0.4732991917441204,0.23214046364296834,0.05277975445294166
1.0,monomial_orthonormalized,12,False,24,True,0.009298135060817003,0.0003956458531320095,0.009693780913949013,2.786579679340822e-11,2.1083770674119364,0.0065658606856545225,0.24647268334331882,0.47329917493787993,0.23216570523156393,0.05263067321437485
1.0,shifted_legendre,12,False,24,True,0.0002911819610744715,0.0006963158957660198,0.0009874978568404913,1.846914244411064e-11,2.10837706726791,0.006565860553541402,0.2464726833513355,0.47329917493908225,0.2321657052398632,0.05263067324123714
1.0,integrated_legendre,12,False,24,True,0.0007507149130105972,0.0010190659668296576,0.0017697808798402548,1.807514250182493e-11,2.108377067381503,0.006565860637929087,0.24647268335016356,0.47329917494038964,0.23216570523914903,0.0526306732419045
1.0,chebyshev,12,False,24,True,0.00021951808594167233,0.0006284920964390039,0.0008480101823806763,8.085763950511101e-12,2.1083770673001854,0.006565860578454013,0.24647268333798994,0.47329917493992674,0.23216570523902694,0.05263067324118925
1.0,bspline_C0,12,True,24,True,0.0004096939228475094,0.0017385492101311684,0.0021482431329786777,0.6782882695321404,1.3652758389553343e-06,0.00017713940324621513,0.0009655131299722854,0.0034572893942076107,0.016050636197062148,0.05535210217066453
1.0,enriched_split,12,True,24,True,3.414391539990902e-05,0.0004236449021846056,0.0004577888175845146,0.6782887087179899,1.2061601542798645e-10,5.907021684848896e-09,8.189236744360492e-06,5.808898346718285e-05,0.0007167740347803928,0.03555699585115018
1.0,enriched_split_orthonormalized,12,True,24,True,0.022982483031228185,0.00040183705277740955,0.023384320084005594,0.6782887087072167,1.5410344202360797e-10,5.929465885241156e-09,8.188888916948035e-06,5.804667162256587e-05,0.0007152499462778058,0.0355230162391922
1.0,hermite_fem_split_rotation,81,True,,True,1.8558930605649948e-06,0.001509190071374178,0.001511045964434743,0.6782887055414415,9.99452637203776e-09,2.6114945836914244e-07,1.6523925390932617e-06,5.352798673844067e-06,1.745628715946035e-05,4.5571507061081634e-05
1.0,monomial_raw,16,False,32,False,9.936047717928886e-06,0.0006671159062534571,0.000677051953971386,nan,nan,nan,nan,nan,nan,nan
1.0,monomial_orthonormalized,16,False,32,True,0.008920280961319804,0.000498476903885603,0.009418757865205407,1.9649360506093828e-10,2.108377067936095,0.0065658611821247884,0.24647268333824784,0.4732989591799314,0.23216279013117766,0.051391567714888224
1.0,shifted_legendre,16,False,32,True,0.00044745393097400665,0.0010103450622409582,0.0014577989932149649,1.1469436029623636e-10,2.108377067681832,0.006565860954364112,0.2464726833841265,0.473298959172099,0.2321627901479506,0.051391567512667824
1.0,integrated_legendre,16,False,32,True,0.0011906169820576906,0.0014456389471888542,0.002636255929246545,1.7996558049441248e-10,2.108377066765918,0.006565860307644164,0.24647268335311986,0.47329895918536763,0.23216279015126834,0.05139156751048483
1.0,chebyshev,16,False,32,True,0.0003254059702157974,0.0008860258385539055,0.001211431808769703,1.8508082628049162e-11,2.108377067382849,0.0065658606668150075,0.24647268336167694,0.47329895916001624,0.23216279014898777,0.051391567509353676
1.0,bspline_C0,16,True,32,True,0.000408796826377511,0.002813566941767931,0.003222363768145442,0.6782886225848873,2.6785477719270277e-07,3.335623970109373e-05,0.00018737991058280918,0.0006617119495850393,0.002711927540753512,0.008644843770360313
1.0,enriched_split,16,True,32,False,3.411085344851017e-05,0.0004899008199572563,0.0005240116734057665,nan,nan,nan,nan,nan,nan,nan
1.0,enriched_split_orthonormalized,16,True,32,True,0.009681461146101356,0.0004935332108289003,0.010174994356930256,0.6782887087639747,2.232230841460642e-11,4.744597406208975e-10,5.609226712626435e-07,6.480178099718291e-06,2.2391111765402908e-05,1.4165167809521066e-05
1.0,hermite_fem_split_rotation,81,True,,True,1.0558869689702988e-06,0.001773781143128872,0.0017748370300978422,0.6782887055414415,9.99452637203776e-09,2.6114945836914244e-07,1.6523925390932617e-06,5.352798673844067e-06,1.745628715946035e-05,4.5571507061081634e-05
1.0,monomial_raw,20,False,40,False,1.2080185115337372e-05,0.0008093870710581541,0.0008214672561734915,nan,nan,nan,nan,nan,nan,nan
1.0,monomial_orthonormalized,20,False,40,True,0.01070190197788179,0.0006556918378919363,0.011357593815773726,1.4856355518909643e-10,2.108377066863527,0.006565860061614232,0.24647268319931473,0.47329895896532276,0.232162787766205,0.051391382468922435
1.0,shifted_legendre,20,False,40,True,0.0006456119008362293,0.0014461029786616564,0.0020917148794978857,3.541504834986156e-10,2.1083770662244854,0.006565859446196409,0.24647268304516784,0.47329895913038206,0.23216279010872448,0.05139139423519836
1.0,integrated_legendre,20,False,40,True,0.001706486102193594,0.0019722599536180496,0.0036787460558116436,1.2629451176987799e-09,2.108377063399609,0.006565858472478863,0.2464726833994545,0.47329895919933146,0.23216279011642832,0.0513913942402899
1.0,chebyshev,20,False,40,True,0.0005111489444971085,0.001342920120805502,0.0018540690653026104,2.647068926618496e-10,2.10837706650251,0.006565859882859628,0.24647268344921713,0.47329895913060666,0.2321627901108547,0.05139139423741637
1.0,bspline_C0,20,True,40,True,0.0005199969746172428,0.004831681959331036,0.005351678933948278,0.678288681570812,8.450428101607711e-08,1.0384697774225118e-05,6.1515905033984e-05,0.00021391506810771287,0.0007970852933321477,0.002328526820320086
1.0,enriched_split,20,True,40,False,6.204703822731972e-05,0.0006587961688637733,0.0007208432070910931,nan,nan,nan,nan,nan,nan,nan
1.0,enriched_split_orthonormalized,20,True,40,True,0.024041452910751104,0.0006510359235107899,0.024692488834261894,0.678288666614949,1.3099274300890844e-07,6.38781622334027e-08,5.185836997331405e-07,1.7900149654016668e-06,2.4112558524566893e-06,5.177946925366898e-06
1.0,hermite_fem_split_rotation,81,True,,True,2.016080543398857e-06,0.0019617960788309574,0.0019638121593743563,0.6782887055414415,9.99452637203776e-09,2.6114945836914244e-07,1.6523925390932617e-06,5.352798673844067e-06,1.745628715946035e-05,4.5571507061081634e-05
1.0,monomial_raw,24,False,48,False,1.2143980711698532e-05,0.0009227469563484192,0.0009348909370601177,nan,nan,nan,nan,nan,nan,nan
1.0,monomial_orthonormalized,24,False,48,True,0.010484528029337525,0.000780539121478796,0.011265067150816321,1.402862316996871e-06,2.108372706700264,0.006508789727393361,0.2459075492037606,0.4706667323577764,0.22578905126790155,0.037641127659398706
