arm,mode,ladder,nodes,n,p_correct,wilson_lo,wilson_hi,correct,lower_mode_basin,spurious,non_converged,p_accurate,n_certified,seconds,rank_median,rank_min,e_lam,rank_used,kappa_M,rank_tol_1e-16,rank_tol_1e-14,rank_tol_1e-12,rank_tol_1e-10
f_eig_pielm(nf=20),1,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.013200869550928473,,,3.0481609971869926e-08,8.0,5.02154688870188e+17,11.0,9.0,8.0,7.0
f_eig_pielm(nf=20),2,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.013200869550928473,,,1.1308725148624215e-06,8.0,5.02154688870188e+17,11.0,9.0,8.0,7.0
f_eig_pielm(nf=20),3,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.013200869550928473,,,3.14900466292916e-05,8.0,5.02154688870188e+17,11.0,9.0,8.0,7.0
f_eig_pielm(nf=40),1,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.013697063084691763,,,1.4073417714559516e-08,9.0,2.6890987090641434e+18,15.0,11.0,9.0,8.0
f_eig_pielm(nf=40),2,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.013697063084691763,,,2.8917333207257193e-07,9.0,2.6890987090641434e+18,15.0,11.0,9.0,8.0
f_eig_pielm(nf=40),3,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.013697063084691763,,,3.0691635973230518e-06,9.0,2.6890987090641434e+18,15.0,11.0,9.0,8.0
f_eig_pielm(nf=80),1,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.01381837553344667,,,1.2245228956829264e-08,10.0,1.1519572511328539e+19,19.0,11.0,10.0,8.0
f_eig_pielm(nf=80),2,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.01381837553344667,,,7.66024716779432e-08,10.0,1.1519572511328539e+19,19.0,11.0,10.0,8.0
f_eig_pielm(nf=80),3,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.01381837553344667,,,2.544822255838768e-06,10.0,1.1519572511328539e+19,19.0,11.0,10.0,8.0
f_eig_pielm(nf=160),1,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.017482117982581258,,,1.4651706747282539e-08,10.0,3.612511157793928e+19,21.0,12.0,10.0,8.0
f_eig_pielm(nf=160),2,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.017482117982581258,,,4.0360811021458504e-08,10.0,3.612511157793928e+19,21.0,12.0,10.0,8.0
f_eig_pielm(nf=160),3,n/a,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,0.017482117982581258,,,2.5018740454926165e-06,10.0,3.612511157793928e+19,21.0,12.0,10.0,8.0
