k_hat,mode,beta_fp64,beta_highprec,rel_diff
1.0,1,1.412186163932525,1.412186163932525,0.0
1.0,2,4.686417410571362,4.686417410571359,7.580873335752141e-16
1.0,3,7.433820784577197,7.4338207845767865,5.519885961641713e-14
1.0,4,9.98030632558946,9.980306325596986,7.541275470909614e-13
1.0,5,13.418235464459055,13.418235464344097,8.567349225917461e-12
1.0,6,17.063631223495474,17.0636312033903,1.1782470212932368e-09
10.0,1,1.7876174360838977,1.7876174360838974,1.2421259741763348e-16
10.0,2,4.692172295469055,4.692172295469054,1.8928938746724736e-16
10.0,3,7.750763230873362,7.750763230873051,4.010733364384143e-14
10.0,4,10.649086301559228,10.649086301571968,1.1963497046970099e-12
10.0,5,13.813415642761214,13.81341564275069,7.619342344896413e-13
10.0,6,17.180385956089868,17.18038595019389,3.431807095032349e-10
100.0,1,1.8653624681986938,1.8653624681986944,3.5710690342041274e-16
100.0,2,4.693865398972904,4.693865398972903,1.8922110972642582e-16
100.0,3,7.8427185277691835,7.842718527769248,8.267162006201837e-15
100.0,4,10.951374937022427,10.951374937031831,8.587079852398622e-13
100.0,5,14.088870250539797,14.088870250453349,6.135920085109086e-12
100.0,6,17.26361248232291,17.263612483534093,7.015820374238171e-11
1000.0,1,1.8741184599122367,1.874118459912237,1.184794929854271e-16
1000.0,2,4.69406815428489,4.694068154284893,5.676388095618306e-16
1000.0,3,7.853534795744872,7.8535347957448876,2.035670811984466e-15
1000.0,4,10.99100734224714,10.991007342250182,2.766919186163169e-13
1000.0,5,14.132099285235407,14.132099285355501,8.497970076234976e-12
1000.0,6,17.277159691998914,17.27715969139828,3.476474120290527e-11
