arm,mode,ladder,nodes,n,p_correct,wilson_lo,wilson_hi,correct,lower_mode_basin,spurious,non_converged,p_accurate,n_certified,iters,seconds,init_seconds,seconds_with_init,start,prior_information,study
a_prime_projection_diagonal,3,I0,gauss,50,0.0,0.0,0.0713475991644559,0,27,0,23,0.0,27,200,11.214008249109611,7.681082934141159e-07,11.214009017217904,cold,random network initialization; no prior information,warm_cold
a_prime_projection_diagonal,3,I1,gauss,50,0.0,0.0,0.0713475991644559,0,13,0,37,0.0,13,200,11.420203204033896,6.289813199779019,17.710016403812915,cold,"BC-satisfying random polynomial; structural prior only, no information about the target mode",warm_cold
a_prime_projection_diagonal,3,I2,gauss,50,0.0,0.0,0.0713475991644559,0,27,0,23,0.0,27,200,11.39495018706657,1.3918615877628326e-06,11.394951578928158,warm-lambda,"eigenvalue window only, as a barrier on the objective; no shape information",warm_cold
a_prime_projection_diagonal,3,I3,gauss,50,0.0,0.0,0.0713475991644559,0,0,0,50,0.0,0,200,11.450089677935466,15.172112606000155,26.62220228393562,warm-shape,coarse-Ritz solution pre-fitted in value and curvature,warm_cold
a_prime_projection_diagonal,3,I5,gauss,50,0.0,0.0,0.0713475991644559,0,0,0,50,0.0,0,200,11.450299028074369,14.795740352012217,26.246039380086586,warm-oracle,analytic mode shape and curvature pre-fitted; upper bound,warm_cold
b_projection_exact,3,I0,gauss,50,0.58,0.4423344176544836,0.7062499664792035,29,0,0,21,0.84,29,200,11.420980935916305,5.119945853948593e-07,11.42098144791089,cold,random network initialization; no prior information,warm_cold
b_projection_exact,3,I1,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,200,11.669596842024475,6.29141672491096,17.961013566935435,cold,"BC-satisfying random polynomial; structural prior only, no information about the target mode",warm_cold
b_projection_exact,3,I2,gauss,50,0.58,0.4423344176544836,0.7062499664792035,29,0,0,21,0.84,29,200,11.56002043816261,6.561167538166046e-07,11.560021094279364,warm-lambda,"eigenvalue window only, as a barrier on the objective; no shape information",warm_cold
b_projection_exact,3,I3,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,200,11.670108590042219,15.329568822868168,26.999677412910387,warm-shape,coarse-Ritz solution pre-fitted in value and curvature,warm_cold
b_projection_exact,3,I5,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,200,11.734184655826539,14.802883236901835,26.537067892728373,warm-oracle,analytic mode shape and curvature pre-fitted; upper bound,warm_cold
