arm,w_orth,seed,n_basis,corr_index,corr_eig_max,corr_eig_2nd,corr_ratio_2nd_to_max,corr_rank_1e12,offdiag_penalty,offdiag_penalty_max,offdiag_ratio,raw_index_confounded,eig_max,eig_2nd,eig_ratio_2nd_to_max,gram_trace,sum_sq_norms,norm_max_over_min,rank_1e12,seconds
d_neural_basis_galerkin(M=9),0.0,0,9,0.9772286296998952,8.795057667299057,0.20478347470045424,0.023283926319421486,6,68.39497566698319,72.0,0.9499302175969887,0.9999587680868505,15.366017032549616,0.0006317652554761441,4.111444456542543e-05,15.366650628953748,15.36665062895374,316.69500393148854,5,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,1,9,0.9999997608489354,8.999997847640419,2.149341910258728e-06,2.388158249195841e-07,4,71.9999612575368,72.0,0.9999994619102333,0.9999999747082209,74.59037987962655,1.875500614694253e-06,2.5144001380887496e-08,74.59038176615002,74.59038176615002,7.212678315491241,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,2,9,0.9999681213807547,8.999713092426793,0.0002620224845282912,2.9114537523288557e-05,5,71.99483581527076,72.0,0.9999282752120939,0.9999970071117161,37.61729781063581,0.00010989992823123944,2.921526388856316e-06,37.61741039534265,37.617410395342624,33.197706965101844,5,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,3,9,0.9997046952544832,8.997342257290349,0.0026564506036583463,0.00029524836642797294,4,71.9521747515541,72.0,0.9993357604382513,0.9999981263968433,44.73852741753225,8.35447806896131e-05,1.8674012202036262e-06,44.738611239935494,44.7386112399355,30.60848414528783,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,4,9,0.9999983130727702,8.999984817654932,1.4726043605225107e-05,1.6362298274478843e-06,5,71.99972671823629,72.0,0.9999962044199484,0.9999994001591392,27.238886781723966,1.6059150870292103e-05,5.895670773545361e-07,27.23890312073106,27.238903120731074,12.814869542955138,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,5,9,0.9961306201603127,8.965175581442814,0.034819471069574434,0.003883858241621939,5,71.37558560168782,72.0,0.9913275778012197,0.9999710063786934,54.90604508814708,0.001591302711932654,2.898228618320533e-05,54.90763705938282,54.90763705938279,21.749457009554867,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,6,9,0.9999972436401214,8.999975192761093,1.7291523811741463e-05,1.9212857192817012e-06,4,71.99955347067052,72.0,0.9999937982037572,0.9999999006828972,44.17817019862597,4.1093913861021885e-06,9.301859646124499e-08,44.178174586274274,44.17817458627427,37.75057938233717,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,7,9,0.9999774674423466,8.99979720698112,0.00020104370394906002,2.2338692675553948e-05,5,71.9963498072068,72.0,0.9999493028778722,0.9999982377304437,54.835397035477364,9.643107331190799e-05,1.7585552129679864e-06,54.83549367039846,54.83549367039849,39.169232597346564,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,8,9,0.9995396700783316,8.995857030704984,0.004139885987787541,0.0004601991754267695,5,71.92546085554974,72.0,0.9989647341048575,0.9999971685140371,34.33179785059327,9.671297295164943e-05,2.817008691841001e-06,34.33189506087221,34.3318950608722,36.95192895372738,4,296.9367328209337
d_neural_basis_galerkin(M=9),0.0,9,9,0.9999726184249107,8.999753565824196,0.00024044444101042832,2.671678054869144e-05,5,71.99556430341475,72.0,0.9999383931029827,0.9999989697551558,43.731372573826384,4.4921015252173425e-05,1.0272034150389109e-06,43.731417627893926,43.73141762789391,105.01867605072556,4,296.9367328209337
