m,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
0,monomial_raw,6,1867911832.6897235,10708437.921881428,1501329183.179512,12847202.39513573,10284148.164586918,True,111020.00997400963,92.87177680205299,4.0385698864770704e-16,92.8717768020584,cholesky,5.829904232403961e-14
0,monomial_orthonormalized,6,1.8641737665354592,108025.10305858447,1.82126106490205,132804.2750736803,76.24560580728689,True,111020.00861634336,92.8717768020794,2.5789243459788254e-17,92.8717768020571,cholesky,2.400818829564815e-13
0,shifted_legendre,6,29491.701750891953,1162.6712427865418,59710.68572605976,31.859083967296943,29.877471040851088,True,111020.00861646661,92.87177680208816,1.1328441516084762e-14,92.87177680205713,cholesky,3.3418663631418443e-13
0,integrated_legendre,6,2260223.325526223,226.7327965791707,3122.7823149672367,4628.764907737223,13.117250433397462,True,111020.00861634547,92.87177680206035,3.0414028870310182e-15,92.87177680205717,cholesky,3.4275552442480437e-14
0,chebyshev,6,34174.71076546961,2285.668344542793,35287.188182910366,22.948858553761326,18.79994239041808,True,111020.00861611236,92.87177680205149,1.351128578786867e-15,92.87177680205711,cholesky,6.059428021081367e-14
0,bspline_p3,5,18.314429161603638,2288.666001477815,16.75245068167506,2516.6123491371422,2095.450323488856,True,20511.662402924365,92.90909764248447,1.2257450186385219e-15,92.90909764264288,cholesky,1.704982628500434e-12
0,radial_hermite_fem,80,3625666.647454619,174225028.48450524,29.17299554003553,115651578.92562903,15745501.34105556,True,876094114.8467598,92.87172870346829,8.017690783193698e-16,92.87172895302747,cholesky,2.6871382870643744e-09
0,monomial_raw,8,3070182333731.297,9518913270.487597,2286399191801.1484,11307521897.951836,9689276260.047821,True,720648.5750824003,92.87172525720464,6.577490510356746e-15,92.87172525746435,cholesky,2.7963663773915254e-12
0,monomial_orthonormalized,8,2.0112630161981646,720496.4348568895,1.9784751545807346,896020.1849974806,143.28903827520193,True,720661.0085214323,92.87172525750148,1.2554194378326768e-17,92.87172525745962,cholesky,4.507849711516199e-13
0,shifted_legendre,8,129918.1620919533,5409.88932761268,310408.4134820021,86.46624203015229,88.57251777742027,True,720661.0084959934,92.87172525746703,1.867888502021148e-15,92.87172525745963,cholesky,7.972130684656957e-14
