family,solver,mode,e_lam_source,size_label,size,iterations,e_lam,p_correct,seconds_reported,seconds_per_attempt,accounting,E_T_success,factorization_ok,ensemble_seconds,seconds_per_attempt_min,seconds_per_attempt_max
classical,chebyshev,3,p1_basis_study.csv,n_dof,6,,0.0006185482576926655,1.0,0.000382845988497138,0.000382845988497138,single deterministic solve (numpy/CPU),0.000382845988497138,True,,,
classical,bspline_p3,1,p1_basis_study.csv,n_dof,5,,7.00597014511703e-05,1.0,0.0006427639164030552,0.0006427639164030552,single deterministic solve (numpy/CPU),0.0006427639164030552,True,,,
classical,bspline_p3,2,p1_basis_study.csv,n_dof,5,,0.003529194115143614,1.0,0.0006427639164030552,0.0006427639164030552,single deterministic solve (numpy/CPU),0.0006427639164030552,True,,,
classical,bspline_p3,3,p1_basis_study.csv,n_dof,5,,0.035991656480479355,1.0,0.0006427639164030552,0.0006427639164030552,single deterministic solve (numpy/CPU),0.0006427639164030552,True,,,
classical,monomial_raw,1,p1_basis_study.csv,n_dof,8,,2.0096583489452704e-12,1.0,0.00017342297360301018,0.00017342297360301018,single deterministic solve (numpy/CPU),0.00017342297360301018,True,,,
classical,monomial_raw,2,p1_basis_study.csv,n_dof,8,,1.8444835969957652e-08,1.0,0.00017342297360301018,0.00017342297360301018,single deterministic solve (numpy/CPU),0.00017342297360301018,True,,,
classical,monomial_raw,3,p1_basis_study.csv,n_dof,8,,2.207067811159684e-06,1.0,0.00017342297360301018,0.00017342297360301018,single deterministic solve (numpy/CPU),0.00017342297360301018,True,,,
classical,monomial_orthonormalized,1,p1_basis_study.csv,n_dof,8,,8.76944437552766e-13,1.0,0.06259756674990058,0.06259756674990058,single deterministic solve (numpy/CPU),0.06259756674990058,True,,,
classical,monomial_orthonormalized,2,p1_basis_study.csv,n_dof,8,,1.843661793607729e-08,1.0,0.06259756674990058,0.06259756674990058,single deterministic solve (numpy/CPU),0.06259756674990058,True,,,
classical,monomial_orthonormalized,3,p1_basis_study.csv,n_dof,8,,2.2071561456399875e-06,1.0,0.06259756674990058,0.06259756674990058,single deterministic solve (numpy/CPU),0.06259756674990058,True,,,
classical,shifted_legendre,1,p1_basis_study.csv,n_dof,8,,8.318255528417111e-13,1.0,0.0024860810954123735,0.0024860810954123735,single deterministic solve (numpy/CPU),0.0024860810954123735,True,,,
classical,shifted_legendre,2,p1_basis_study.csv,n_dof,8,,1.844147654288995e-08,1.0,0.0024860810954123735,0.0024860810954123735,single deterministic solve (numpy/CPU),0.0024860810954123735,True,,,
classical,shifted_legendre,3,p1_basis_study.csv,n_dof,8,,2.20715605126299e-06,1.0,0.0024860810954123735,0.0024860810954123735,single deterministic solve (numpy/CPU),0.0024860810954123735,True,,,
classical,integrated_legendre,1,p1_basis_study.csv,n_dof,8,,1.232722649478155e-12,1.0,0.000924362801015377,0.000924362801015377,single deterministic solve (numpy/CPU),0.000924362801015377,True,,,
classical,integrated_legendre,2,p1_basis_study.csv,n_dof,8,,1.8440818683382967e-08,1.0,0.000924362801015377,0.000924362801015377,single deterministic solve (numpy/CPU),0.000924362801015377,True,,,
classical,integrated_legendre,3,p1_basis_study.csv,n_dof,8,,2.2071555974171506e-06,1.0,0.000924362801015377,0.000924362801015377,single deterministic solve (numpy/CPU),0.000924362801015377,True,,,
classical,chebyshev,1,p1_basis_study.csv,n_dof,8,,7.72912359429187e-13,1.0,0.0004583492409437895,0.0004583492409437895,single deterministic solve (numpy/CPU),0.0004583492409437895,True,,,
classical,chebyshev,2,p1_basis_study.csv,n_dof,8,,1.84414003253176e-08,1.0,0.0004583492409437895,0.0004583492409437895,single deterministic solve (numpy/CPU),0.0004583492409437895,True,,,
classical,chebyshev,3,p1_basis_study.csv,n_dof,8,,2.20715607276661e-06,1.0,0.0004583492409437895,0.0004583492409437895,single deterministic solve (numpy/CPU),0.0004583492409437895,True,,,
classical,bspline_p3,1,p1_basis_study.csv,n_dof,7,,1.3525874962634655e-05,1.0,0.0008986510802060366,0.0008986510802060366,single deterministic solve (numpy/CPU),0.0008986510802060366,True,,,
classical,bspline_p3,2,p1_basis_study.csv,n_dof,7,,0.0006052175331229153,1.0,0.0008986510802060366,0.0008986510802060366,single deterministic solve (numpy/CPU),0.0008986510802060366,True,,,
classical,bspline_p3,3,p1_basis_study.csv,n_dof,7,,0.00581518061937795,1.0,0.0008986510802060366,0.0008986510802060366,single deterministic solve (numpy/CPU),0.0008986510802060366,True,,,
classical,monomial_raw,1,p1_basis_study.csv,n_dof,10,,1.0489422241742082e-13,1.0,0.0001931029837578535,0.0001931029837578535,single deterministic solve (numpy/CPU),0.0001931029837578535,True,,,
classical,monomial_raw,2,p1_basis_study.csv,n_dof,10,,3.682327320461825e-12,1.0,0.0001931029837578535,0.0001931029837578535,single deterministic solve (numpy/CPU),0.0001931029837578535,True,,,
classical,monomial_raw,3,p1_basis_study.csv,n_dof,10,,3.0822467710038412e-09,1.0,0.0001931029837578535,0.0001931029837578535,single deterministic solve (numpy/CPU),0.0001931029837578535,True,,,
classical,monomial_orthonormalized,1,p1_basis_study.csv,n_dof,10,,2.119581746410102e-12,1.0,0.052547371946275234,0.052547371946275234,single deterministic solve (numpy/CPU),0.052547371946275234,True,,,
classical,monomial_orthonormalized,2,p1_basis_study.csv,n_dof,10,,1.9614024418064657e-12,1.0,0.052547371946275234,0.052547371946275234,single deterministic solve (numpy/CPU),0.052547371946275234,True,,,
classical,monomial_orthonormalized,3,p1_basis_study.csv,n_dof,10,,3.1334465310387104e-09,1.0,0.052547371946275234,0.052547371946275234,single deterministic solve (numpy/CPU),0.052547371946275234,True,,,
classical,shifted_legendre,1,p1_basis_study.csv,n_dof,10,,3.7876872642783736e-13,1.0,0.0006386039312928915,0.0006386039312928915,single deterministic solve (numpy/CPU),0.0006386039312928915,True,,,
classical,shifted_legendre,2,p1_basis_study.csv,n_dof,10,,3.6268324981961857e-12,1.0,0.0006386039312928915,0.0006386039312928915,single deterministic solve (numpy/CPU),0.0006386039312928915,True,,,
