problem,arm,mode,ladder,nodes,n,p_correct,wilson_lo,wilson_hi,correct,lower_mode_basin,spurious,non_converged,p_accurate,e_lam_median,mac_median,Lam_median,Lam_ref,iters,seconds,n_q,E_T_success
P4,p4_neural_2d[exact projection],1,I0,gauss2d,50,0.76,0.6258731623866494,0.8570260860478336,38,0,0,12,0.82,0.003481109658084644,0.9999160841894277,5.186995180863761,5.170681072675439,4000,589.8429132509045,1200,776.109096382769
P4,p4_neural_2d[exact projection],2,I0,gauss2d,50,0.68,0.5418970268853772,0.7924178374154187,34,0,2,14,0.7,0.0025467848614021894,0.9999125409264167,6.4863957428964865,6.47510956339615,4000,597.0030800970271,1200,877.9457060250398
P4,p4_neural_2d[exact projection],3,I0,gauss2d,50,0.66,0.5215382604694402,0.775630507797934,33,0,9,8,0.66,0.0037962203448811222,0.999762153147989,10.075867805422718,10.044597079780198,4000,603.6373060189653,1200,914.6019788166141
