m,basis,n_dof,cholesky_ok,seconds,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4
0,monomial_raw,6,True,0.00032350094988942146,5.567956152236407e-07,2.488344917870148e-05,0.0006810155449127801,0.09829796644720136
0,monomial_orthonormalized,6,True,0.00020545488223433495,5.567958995272653e-07,2.488344955348235e-05,0.0006810155563523373,0.09829796496608087
0,shifted_legendre,6,True,0.0008430490270256996,5.567959939381029e-07,2.488344965818524e-05,0.0006810155562553097,0.09829796496616695
0,integrated_legendre,6,True,0.0007054670713841915,5.567956944858999e-07,2.4883449285022294e-05,0.000681015556331482,0.09829796496623106
0,chebyshev,6,True,0.00034868507646024227,5.567955990039506e-07,2.488344910809059e-05,0.0006810155563689547,0.09829796496609917
0,bspline_p3,5,True,0.0008812570013105869,0.00040241043185072593,0.004563554566032996,0.037164520351777745,0.06050070013010879
0,radial_hermite_fem,80,True,0.0600459601264447,3.8892188193086906e-08,4.0563358188429174e-07,2.3405738623527654e-06,8.368100416998628e-06
0,monomial_raw,8,True,0.0002803979441523552,1.7844070638619278e-09,2.764362109535051e-09,8.457139376796634e-06,0.002649510652344017
0,monomial_orthonormalized,8,True,0.00023737410083413124,1.7876032609068168e-09,2.769049008422409e-09,8.457161545267205e-06,0.0026495234377841253
0,shifted_legendre,8,True,0.00046814000234007835,1.7872323502577929e-09,2.7684376637357014e-09,8.457161052433778e-06,0.002649523437341557
0,integrated_legendre,8,True,0.0007915780879557133,1.787321864585218e-09,2.768290779218347e-09,8.457160758005119e-06,0.002649523437290958
0,chebyshev,8,True,0.00045353290624916553,1.7870110892023108e-09,2.7680821824018045e-09,8.457161032916728e-06,0.0026495234371744203
0,bspline_p3,7,True,0.0009260571096092463,8.177161919362354e-05,0.0008491151685491109,0.006084786589691911,0.028356459254330432
0,radial_hermite_fem,80,True,0.10788766806945205,3.8892188193086906e-08,4.0563358188429174e-07,2.3405738623527654e-06,8.368100416998628e-06
0,monomial_raw,10,True,0.0005042850971221924,4.122402555838439e-12,3.9683550831851313e-11,5.199059294576049e-09,2.099565705185595e-05
0,monomial_orthonormalized,10,True,0.0003339808899909258,1.354359424742274e-11,2.5018212317063405e-11,5.300801682861833e-09,2.1022392896795596e-05
0,shifted_legendre,10,True,0.0006564110517501831,3.2694916822166926e-12,4.992108966298608e-11,5.299439392682982e-09,2.1022393178638125e-05
0,integrated_legendre,10,True,0.0010707280598580837,1.0158269495358243e-11,6.885035512688049e-11,5.301394332064486e-09,2.1022393571408926e-05
0,chebyshev,10,True,0.0007087308913469315,1.2157881855689957e-11,6.436246106948669e-11,5.301186224534913e-09,2.1022393562136287e-05
0,bspline_p3,9,True,0.001487460918724537,2.603585529347336e-05,0.0002625955863300705,0.0017259682299314014,0.007438646244038169
0,radial_hermite_fem,80,True,0.03662754502147436,3.8892188193086906e-08,4.0563358188429174e-07,2.3405738623527654e-06,8.368100416998628e-06
0,monomial_raw,12,True,0.00033715018071234226,1.783768069278461e-11,2.500133966597468e-11,2.983030726957511e-11,2.018093261558477e-07
0,monomial_orthonormalized,12,True,0.0004801570903509855,7.959124343637444e-12,1.0152366612967715e-11,1.9427607415096214e-11,8.301982149634108e-08
0,shifted_legendre,12,True,0.0008510979823768139,8.9999387968802e-12,1.5718492414592972e-11,2.5016510217612413e-11,8.301855778404717e-08
0,integrated_legendre,12,True,0.0014693010598421097,6.5122055741779485e-12,2.611724595989739e-11,2.1691139258726983e-11,8.301971205626924e-08
0,chebyshev,12,True,0.0007464908994734287,2.043329015623019e-11,3.1209204039488175e-11,2.5456926420336983e-11,8.30206500813201e-08
