arm,n_periods,seed,iters,n_col,n_params,T_nondim,omega_hat,omega_ref,Lam_hat,Lam_ref,e_lam,rel_lambda_bin,e_lam_over_bin,error_exceeds_one_bin,loss_final,seconds
g_spacetime_pinn(time-domain),4.0,0,4000,4096,12737,7.148075110447225,3.516015268500151,3.516015268500151,12.362363368326188,12.36236336832619,1.436907156403025e-16,0.5,2.87381431280605e-16,False,0.5804933973492296,195.2624080660753
g_spacetime_pinn(time-domain),4.0,1,4000,4096,12737,7.148075110447225,3.516015268500151,3.516015268500151,12.362363368326188,12.36236336832619,1.436907156403025e-16,0.5,2.87381431280605e-16,False,0.5023492566025467,194.91109239892103
g_spacetime_pinn(time-domain),4.0,2,4000,4096,12737,7.148075110447225,3.516015268500151,3.516015268500151,12.362363368326188,12.36236336832619,1.436907156403025e-16,0.5,2.87381431280605e-16,False,0.681087578033096,195.38874502503313
g_spacetime_pinn(time-domain),8.0,0,4000,4096,12737,14.29615022089445,3.076513359937632,3.516015268500151,9.464934453874738,12.36236336832619,0.23437500000000003,0.25,0.9375000000000001,False,0.36412047020652527,194.70650227903388
g_spacetime_pinn(time-domain),8.0,1,4000,4096,12737,14.29615022089445,3.076513359937632,3.516015268500151,9.464934453874738,12.36236336832619,0.23437500000000003,0.25,0.9375000000000001,False,0.26190368778445894,194.75171110895462
g_spacetime_pinn(time-domain),8.0,2,4000,4096,12737,14.29615022089445,3.076513359937632,3.516015268500151,9.464934453874738,12.36236336832619,0.23437500000000003,0.25,0.9375000000000001,False,0.35871487411822084,194.75703488406725
g_spacetime_pinn(time-domain),16.0,0,4000,4096,12737,28.5923004417889,2.417260497093854,3.516015268500151,5.843148310810426,12.36236336832619,0.52734375,0.125,4.21875,True,0.02310456442182482,194.74785581603646
g_spacetime_pinn(time-domain),16.0,1,4000,4096,12737,28.5923004417889,2.8567624056563723,3.516015268500151,8.161091442371584,12.36236336832619,0.33984375000000017,0.125,2.7187500000000013,True,0.05037136037126619,194.65547785605304
g_spacetime_pinn(time-domain),16.0,2,4000,4096,12737,28.5923004417889,2.8567624056563723,3.516015268500151,8.161091442371584,12.36236336832619,0.33984375000000017,0.125,2.7187500000000013,True,0.24981556620409676,194.63211364718154
g_spacetime_pinn(time-domain),32.0,0,4000,4096,12737,57.1846008835778,1.3185057256875565,3.516015268500151,1.73845734867087,12.36236336832619,0.859375,0.0625,13.75,True,0.014523503710754072,194.59340304206125
g_spacetime_pinn(time-domain),32.0,1,4000,4096,12737,57.1846008835778,2.637011451375113,3.516015268500151,6.95382939468348,12.36236336832619,0.4375000000000001,0.0625,7.000000000000002,True,0.0710001715004995,194.62828505411744
g_spacetime_pinn(time-domain),32.0,2,4000,4096,12737,57.1846008835778,2.9666378827970026,3.516015268500151,8.800940327646282,12.36236336832619,0.2880859374999999,0.0625,4.609374999999998,True,0.13322364695657268,194.61019805609249
